[  % 1
on(table, computer) | put the computer on the table
inside(dishwasher, tray) | put it in the dishwasher
inside(dishwasher, chalice) | put it in the dishwasher
inside(dishwasher, thermometer) | put it in the dishwasher
]

[  % 13
on(table, calculator) | put the calculator on the table
has(user, ashtray) | give me it
on(couch, matchbook) | put it on the couch
has(user, hourglass) | give me it
on(table, tray) | put it on the table
on(table, cupcake) | put it on the table
on(table, pancake) | put it on the table
on(table, oil_can) | put it on the table
filled(chalice, electric_kettle) | fill it from the electric_kettle
has(user, chalice) | give me it
filled(thermometer, electric_kettle) | fill it from the electric_kettle
has(user, thermometer) | give me it
inside(dishwasher, tray) | put it in the dishwasher
inside(dishwasher, chalice) | put it in the dishwasher
inside(dishwasher, thermometer) | put it in the dishwasher
on(couch, place_mat) | put it on the couch
]

