[  % 1
on(table, computer) | put the computer on the table
filled(mug, kettle) | fill it from the kettle
has(user, mug) | give me it
inside(dishwasher, plate) | put it in the dishwasher
inside(dishwasher, mug) | put it in the dishwasher
]

[  % 6
on(table, computer) | put the computer on the table
has(user, newspaper) | give me it
switched_on(television) | turn on it
has(user, phone) | give me it
on(table, plate) | put it on the table
on(table, cookie) | put it on the table
on(table, pizza) | put it on the table
filled(mug, kettle) | fill it from the kettle
has(user, mug) | give me it
on(table, bowl) | put it on the table
on(table, muffin) | put it on the table
on(couch, pillow) | put it on the couch
on(couch, rug) | put it on the couch
inside(dishwasher, plate) | put it in the dishwasher
inside(dishwasher, mug) | put it in the dishwasher
inside(dishwasher, bowl) | put it in the dishwasher
]

[  % 7
on(couch, blanket) | put the blanket on the couch
has(user, cake) | give me it
on(couch, book) | put it on the couch
has(user, pencil) | give me it
on(table, plate) | put it on the table
on(table, cookie) | put it on the table
on(table, muffin) | put it on the table
filled(mug, kettle) | fill it from the kettle
has(user, mug) | give me it
on(table, bowl) | put it on the table
on(table, pizza) | put it on the table
on(couch, pillow) | put it on the couch
on(couch, rug) | put it on the couch
inside(dishwasher, plate) | put it in the dishwasher
inside(dishwasher, mug) | put it in the dishwasher
inside(dishwasher, bowl) | put it in the dishwasher
]

[  % 8
switched_on(television) | turn on the television
has(user, phone) | give me it
on(table, computer) | put it on the table
has(user, newspaper) | give me it
on(table, plate) | put it on the table
on(table, muffin) | put it on the table
on(table, cookie) | put it on the table
filled(mug, kettle) | fill it from the kettle
has(user, mug) | give me it
on(table, bowl) | put it on the table
on(table, pizza) | put it on the table
on(couch, pillow) | put it on the couch
on(couch, rug) | put it on the couch
inside(dishwasher, plate) | put it in the dishwasher
inside(dishwasher, mug) | put it in the dishwasher
inside(dishwasher, bowl) | put it in the dishwasher
]

[  % 9
filled(mug, kettle) | fill the mug from the kettle
on(table, peach) | put it on the table
on(couch, pillow) | put it on the couch
on(couch, blanket) | put it on the couch
on(couch, rug) | put it on the couch
on(couch, towel) | put it on the couch
has(user, book) | give me it
]

[  % 10
filled(cup, kettle) | fill the cup from the kettle
on(couch, newspaper) | put it on the couch
has(user, newspaper) | give me it
has(user, book) | give me it
has(user, pencil) | give me it
has(user, crayon) | give me it
on(couch, pillow) | put it on the couch
]

[  % 11
on(table, calculator) | put the calculator on the table
has(user, matchbook) | give me it
on(couch, sweater) | put it on the couch
has(user, cupcake) | give me it
on(table, tray) | put it on the table
on(table, scone) | put it on the table
on(table, pancake) | put it on the table
filled(ashtray, electric_kettle) | fill it from the electric_kettle
has(user, ashtray) | give me it
on(table, saltshaker) | put it on the table
on(table, hamburger) | put it on the table
on(couch, scarf) | put it on the couch
on(couch, place_mat) | put it on the couch
inside(dishwasher, tray) | put it in the dishwasher
inside(dishwasher, ashtray) | put it in the dishwasher
inside(dishwasher, saltshaker) | put it in the dishwasher
]

[  % 12
switched_on(projector) | turn on the projector
has(user, camcorder) | give me it
on(couch, videotape) | put it on the couch
has(user, paperclip) | give me it
on(couch, sweater) | put it on the couch
has(user, cupcake) | give me it
on(table, tray) | put it on the table
on(table, scone) | put it on the table
on(table, pancake) | put it on the table
filled(ashtray, electric_kettle) | fill it from the electric_kettle
has(user, ashtray) | give me it
on(table, saltshaker) | put it on the table
on(table, hamburger) | put it on the table
inside(dishwasher, tray) | put it in the dishwasher
inside(dishwasher, ashtray) | put it in the dishwasher
inside(dishwasher, saltshaker) | put it in the dishwasher
]

[  % 13
on(table, calculator) | put the calculator on the table
has(user, matchbook) | give me it
on(couch, videotape) | put it on the couch
has(user, paperclip) | give me it
on(table, tray) | put it on the table
on(table, pancake) | put it on the table
on(table, hamburger) | put it on the table
filled(ashtray, electric_kettle) | fill it from the electric_kettle
has(user, ashtray) | give me it
on(table, saltshaker) | put it on the table
on(table, scone) | put it on the table
on(couch, scarf) | put it on the couch
on(couch, tie) | put it on the couch
inside(dishwasher, tray) | put it in the dishwasher
inside(dishwasher, ashtray) | put it in the dishwasher
inside(dishwasher, saltshaker) | put it in the dishwasher
]

