[  % 1
on(table, computer) | put the computer on the table
inside(dishwasher, mug) | put the drinkware in the dishwasher
inside(dishwasher, bowl) | put the tableware in the dishwasher
]

[  % 7
on(couch, blanket) | put the blanket on the couch
has(user, cake) | give me the baked
on(couch, book) | put the stationery on the couch
has(user, pencil) | give me the stationery
on(table, plate) | put the tableware on the table
on(table, cookie) | put the baked on the table
on(table, muffin) | put the baked on the table
filled(mug, kettle) | fill the drinkware from the kettle
has(user, mug) | give me the drinkware
on(table, bowl) | put the tableware on the table
on(table, pizza) | put the baked on the table
on(couch, pillow) | put the linen on the couch
on(couch, rug) | put the linen on the couch
inside(dishwasher, plate) | put the tableware in the dishwasher
inside(dishwasher, mug) | put the drinkware in the dishwasher
inside(dishwasher, bowl) | put the tableware in the dishwasher
]

[  % 8
switched_on(television) | turn on the television
has(user, phone) | give me the electronics
on(table, computer) | put the electronics on the table
has(user, newspaper) | give me the stationery
on(table, plate) | put the tableware on the table
on(table, muffin) | put the baked on the table
on(table, cookie) | put the baked on the table
filled(mug, kettle) | fill the drinkware from the kettle
has(user, mug) | give me the drinkware
on(table, bowl) | put the tableware on the table
on(table, pizza) | put the baked on the table
on(couch, pillow) | put the linen on the couch
on(couch, rug) | put the linen on the couch
inside(dishwasher, plate) | put the tableware in the dishwasher
inside(dishwasher, mug) | put the drinkware in the dishwasher
inside(dishwasher, bowl) | put the tableware in the dishwasher
]

[  % 9
filled(mug, kettle) | fill the mug from the kettle
on(table, peach) | put the fruit on the table
on(couch, pillow) | put the linen on the couch
on(couch, blanket) | put the linen on the couch
on(couch, rug) | put the linen on the couch
on(couch, towel) | put the linen on the couch
has(user, book) | give me the stationery
]

[  % 10
filled(cup, kettle) | fill the cup from the kettle
on(couch, newspaper) | put the stationery on the couch
has(user, newspaper) | give me the stationery
has(user, book) | give me the stationery
has(user, pencil) | give me the stationery
has(user, crayon) | give me the stationery
on(couch, pillow) | put the linen on the couch
]

[  % 11
on(table, calculator) | put the calculator on the table
has(user, matchbook) | give me the stationery
on(couch, sweater) | put the linen on the couch
has(user, cupcake) | give me the baked
on(table, tray) | put the tableware on the table
on(table, scone) | put the baked on the table
on(table, pancake) | put the baked on the table
filled(ashtray, electric_kettle) | fill the drinkware from the electric_kettle
has(user, ashtray) | give me the drinkware
on(table, saltshaker) | put the tableware on the table
on(table, hamburger) | put the baked on the table
on(couch, scarf) | put the linen on the couch
on(couch, place_mat) | put the linen on the couch
inside(dishwasher, tray) | put the tableware in the dishwasher
inside(dishwasher, ashtray) | put the drinkware in the dishwasher
inside(dishwasher, saltshaker) | put the tableware in the dishwasher
]

[  % 12
switched_on(projector) | turn on the projector
has(user, camcorder) | give me the electronics
on(couch, videotape) | put the stationery on the couch
has(user, paperclip) | give me the stationery
on(couch, sweater) | put the linen on the couch
has(user, cupcake) | give me the baked
on(table, tray) | put the tableware on the table
on(table, scone) | put the baked on the table
on(table, pancake) | put the baked on the table
filled(ashtray, electric_kettle) | fill the drinkware from the electric_kettle
has(user, ashtray) | give me the drinkware
on(table, saltshaker) | put the tableware on the table
on(table, hamburger) | put the baked on the table
inside(dishwasher, tray) | put the tableware in the dishwasher
inside(dishwasher, ashtray) | put the drinkware in the dishwasher
inside(dishwasher, saltshaker) | put the tableware in the dishwasher
]

[  % 13
on(table, calculator) | put the calculator on the table
has(user, matchbook) | give me the stationery
on(couch, videotape) | put the stationery on the couch
has(user, paperclip) | give me the stationery
on(table, tray) | put the tableware on the table
on(table, pancake) | put the baked on the table
on(table, hamburger) | put the baked on the table
filled(ashtray, electric_kettle) | fill the drinkware from the electric_kettle
has(user, ashtray) | give me the drinkware
on(table, saltshaker) | put the tableware on the table
on(table, scone) | put the baked on the table
on(couch, scarf) | put the linen on the couch
on(couch, tie) | put the linen on the couch
inside(dishwasher, tray) | put the tableware in the dishwasher
inside(dishwasher, ashtray) | put the drinkware in the dishwasher
inside(dishwasher, saltshaker) | put the tableware in the dishwasher
]

