[  % 1
heated(egg) | heat the egg
has(user, peach) | give me the food
filled(teapot, kettle) | fill the kitchenware from the kettle
has(user, teapot) | give me the kitchenware
on(table, apple) | put the food on the table
on(table, banana) | put the food on the table
on(couch, pillow) | put the household on the couch
on(couch, rug) | put the household on the couch
on(table, orange) | put the food on the table
on(table, grape) | put the food on the table
filled(bottle, kettle) | fill the kitchenware from the kettle
has(user, bottle) | give me the kitchenware
inside(dishwasher, plate) | put the kitchenware in the dishwasher
inside(dishwasher, bowl) | put the kitchenware in the dishwasher
]

[  % 11
heated(beans) | heat the beans
has(user, dagger) | give me the kitchenware
on(table, tray) | put the kitchenware on the table
on(tray, beans) | put the food on the tray
filled(hourglass, electric_kettle) | fill the kitchenware from the electric_kettle
has(user, hourglass) | give me the kitchenware
on(couch, sweater) | put the household on the couch
has(user, apricot) | give me the food
on(table, raspberry) | put the food on the table
on(table, mango) | put the food on the table
inside(dishwasher, tray) | put the kitchenware in the dishwasher
inside(dishwasher, saltshaker) | put the kitchenware in the dishwasher
on(couch, videotape) | put the household on the couch
switched_on(flashlight) | turn on the household
on(couch, place_mat) | put the household on the couch
on(couch, scarf) | put the household on the couch
]

[  % 12
on(table, calculator) | put the calculator on the table
has(user, paperclip) | give me the household
on(couch, videotape) | put the household on the couch
switched_on(flashlight) | turn on the household
filled(ashtray, electric_kettle) | fill the kitchenware from the electric_kettle
has(user, ashtray) | give me the kitchenware
on(table, raspberry) | put the food on the table
on(table, cherry) | put the food on the table
on(couch, sweater) | put the household on the couch
has(user, apricot) | give me the food
on(couch, place_mat) | put the household on the couch
on(couch, scarf) | put the household on the couch
on(table, clementine) | put the food on the table
on(table, mango) | put the food on the table
inside(dishwasher, tray) | put the kitchenware in the dishwasher
inside(dishwasher, saltshaker) | put the kitchenware in the dishwasher
]

[  % 13
switched_on(projector) | turn on the projector
has(user, sweater) | give me the household
filled(thermometer, electric_kettle) | fill the kitchenware from the electric_kettle
has(user, thermometer) | give me the kitchenware
on(table, raspberry) | put the food on the table
on(table, cherry) | put the food on the table
on(couch, place_mat) | put the household on the couch
on(couch, scarf) | put the household on the couch
on(couch, videotape) | put the household on the couch
switched_on(flashlight) | turn on the household
filled(oil_can, electric_kettle) | fill the kitchenware from the electric_kettle
has(user, oil_can) | give me the kitchenware
on(table, clementine) | put the food on the table
on(table, mango) | put the food on the table
inside(dishwasher, tray) | put the kitchenware in the dishwasher
inside(dishwasher, saltshaker) | put the kitchenware in the dishwasher
]

