[  % 1
open(refrigerator) | open the refrigerator
inside(dishwasher, coffee_maker) | put the drinkware in the dishwasher
filled(chalice, electric_kettle) | fill the drinkware from the electric_kettle
has(user, chalice) | give me the drinkware
inside(dishwasher, chalice) | put the drinkware in the dishwasher
on(table, hourglass) | put the drinkware on the table
on(table, cupcake) | put the baked on the table
on(table, barrel) | put the drinkware on the table
on(table, fountain) | put the decor on the table
on(table, camcorder) | put the electronics on the table
on(table, vegetable) | put the food on the table
]

[  % 13
open(refrigerator) | open the refrigerator
inside(microwave_oven, trout) | put the protein in the microwave
closed(refrigerator) | close the inside_furniture
heated(trout) | heat the protein
on(table, tray) | put the tableware on the table
on(tray, trout) | put the protein on the tray
has(user, dishrag) | give me the linen
switched_on(projector) | turn on the light
has(user, place_mat) | give me the linen
filled(coffee_maker, electric_kettle) | fill the drinkware from the electric_kettle
has(user, coffee_maker) | give me the drinkware
inside(dishwasher, tray) | put the tableware in the dishwasher
inside(dishwasher, coffee_maker) | put the drinkware in the dishwasher
on(table, ashtray) | put the drinkware on the table
on(table, cupcake) | put the baked on the table
on(table, wristwatch) | put the electronics on the table
]

