[ % 1 breakfast-read ; KB: per-clip; dishwasher=fork,knife,spoon
open(refrigerator)              | open the refrigerator
filled(coffee_maker, electric_kettle)          | fill the coffee_maker from the electric_kettle
has(user, coffee_maker)               | give me the coffee_maker
inside(dishwasher, tray)       | put the tray in the dishwasher
inside(dishwasher, coffee_maker)      | put the coffee_maker in the dishwasher
on(table, saltshaker)                 | put the saltshaker on the table
on(table, baguette)                | put the baguette on the table
on(couch, scarf)                  | put the scarf on the couch
]

[ % 12 twin-of-2; KB: per-clip; dishwasher=dagger,butterknife,shovel
on(table, calculator)             | put the calculator on the table
has(user, videotape)                 | give me the videotape
on(couch, sweater)              | put the sweater on the couch
has(user, pancake)               | give me the pancake
filled(coffee_maker, electric_kettle)          | fill the coffee_maker from the electric_kettle
has(user, coffee_maker)               | give me the coffee_maker
inside(dishwasher, coffee_maker)      | put the coffee_maker in the dishwasher
filled(chalice, electric_kettle)             | fill the chalice from the electric_kettle
has(user, chalice)                  | give me the chalice
inside(dishwasher, chalice)         | put the chalice in the dishwasher
on(table, hourglass)                | put the hourglass on the table
on(table, cupcake)                 | put the cupcake on the table
on(table, barrel)                  | put the barrel on the table
on(table, fountain)                 | put the fountain on the table
on(table, camcorder)                | put the camcorder on the table
on(table, vegetable)                | put the vegetable on the table
]

[ % 13 twin-of-3; KB: per-clip; dishwasher=butterknife,dagger,shovel
open(refrigerator)              | open the refrigerator
inside(microwave_oven, trout)  | put the trout in the microwave
closed(refrigerator)            | close the refrigerator
heated(trout)                  | heat the trout
on(table, tray)                | put the tray on the table
on(tray, trout)               | put the trout on the tray
has(user, dishrag)                | give me the dishrag
switched_on(projector)         | turn on the projector
has(user, place_mat)               | give me the place_mat
filled(coffee_maker, electric_kettle)          | fill the coffee_maker from the electric_kettle
has(user, coffee_maker)               | give me the coffee_maker
inside(dishwasher, tray)       | put the tray in the dishwasher
inside(dishwasher, coffee_maker)      | put the coffee_maker in the dishwasher
on(table, ashtray)                  | put the ashtray on the table
on(table, cupcake)                 | put the cupcake on the table
on(table, wristwatch)                | put the wristwatch on the table
]

